,City,Country,Date,Lat,Lon,Max Temp,Cloudiness,Wind Speed,Humidity
0,port alfred,ZA,1586652405,-33.59,26.89,18.33,40,1.34,83
1,hilo,US,1586652298,19.73,-155.09,23.78,90,4.1,69
2,hermanus,ZA,1586652266,-34.42,19.23,16.97,100,8.05,93
3,puerto ayora,EC,1586652739,-0.74,-90.35,27.16,75,5.1,74
4,ndele,CF,1586652739,8.41,20.65,23.58,99,1.57,73
5,georgetown,MY,1586652631,5.41,100.34,27.88,20,1.17,88
6,butaritari,KI,1586652449,3.07,172.79,28.89,85,4.62,74
7,kirakira,SB,1586652741,-10.45,161.92,29.74,94,3.45,70
8,busselton,AU,1586652741,-33.65,115.33,22.54,84,4.17,61
9,atuona,PF,1586652406,-9.8,-139.03,28.27,48,2.58,66
10,tiksi,RU,1586652454,71.69,128.87,-13.31,66,8.16,91
11,barrow,US,1586652400,71.29,-156.79,-3.0,90,7.7,79
12,ushuaia,AR,1586652407,-54.8,-68.3,5.0,40,7.7,75
13,shahr-e kord,IR,1586652744,32.33,50.86,5.0,40,3.1,75
14,avarua,CK,1586652439,-21.21,-159.78,29.0,98,2.1,89
15,mataura,NZ,1586652432,-46.19,168.86,17.8,93,4.02,54
16,mangrol,IN,1586652746,21.12,70.12,26.47,27,4.74,61
17,cidreira,BR,1586652451,-30.18,-50.21,18.75,4,2.38,70
18,tomohon,ID,1586652747,1.33,124.84,29.0,40,1.5,74
19,vila velha,BR,1586652748,-20.33,-40.29,24.24,90,1.0,83
20,bredasdorp,ZA,1586652137,-34.53,20.04,18.76,100,9.3,60
21,thompson,CA,1586652420,55.74,-97.86,-7.0,90,7.2,73
22,pestravka,RU,1586652749,52.41,49.96,6.0,99,5.61,62
23,santa cruz,BO,1586652750,-17.8,-63.17,21.0,0,1.0,68
24,pevek,RU,1586652450,69.7,170.31,-12.34,44,6.5,91
25,saint-philippe,RE,1586652417,-21.36,55.77,19.73,26,3.6,69
26,saskylakh,RU,1586652411,71.92,114.08,-17.15,11,5.55,90
27,tabas,IR,1586652584,33.6,56.92,18.0,100,2.1,77
28,touros,BR,1586652515,-5.2,-35.46,27.0,20,3.1,83
29,half moon bay,US,1586652453,37.46,-122.43,14.86,90,3.1,87
30,airai,TL,1586652436,-8.93,125.41,18.74,96,0.88,69
31,hohhot,CN,1586652755,40.81,111.65,6.0,0,2.0,18
32,atasu,KZ,1586652756,48.68,71.64,4.85,59,4.47,56
33,gat,IL,1586652600,31.61,34.76,10.78,7,1.0,82
34,chacaltianguis,MX,1586652758,18.33,-95.83,35.44,63,3.84,40
35,tuatapere,NZ,1586652605,-46.13,167.68,17.6,56,3.94,59
36,wiesbaden,DE,1586652759,50.08,8.25,10.54,1,1.09,57
37,rikitea,PF,1586652402,-23.12,-134.97,25.62,62,2.52,75
38,victor harbor,AU,1586652760,-35.57,138.62,14.33,90,3.6,51
39,mahanoro,MG,1586652761,-19.9,48.8,23.25,8,2.67,84
40,albany,US,1586652350,42.6,-73.97,4.35,20,5.7,30
41,yar-sale,RU,1586652631,66.83,70.83,-12.79,18,2.89,93
42,sulat,PH,1586652762,11.81,125.45,26.91,85,0.62,71
43,kavieng,PG,1586652316,-2.57,150.8,28.73,86,0.34,71
44,shimoni,KE,1586652764,-4.65,39.38,25.91,100,6.66,87
45,qaqortoq,GL,1586652529,60.72,-46.03,5.0,100,20.6,48
46,opuwo,NA,1586652475,-18.06,13.84,20.3,3,2.76,54
47,kapaa,US,1586652424,22.08,-159.32,24.44,90,4.6,83
48,balikpapan,ID,1586652510,-1.27,116.83,27.0,20,1.5,83
49,tamandare,BR,1586652767,-8.76,-35.1,27.34,3,3.74,77
50,margate,GB,1586652492,51.38,1.39,11.09,41,2.1,93
51,kaitangata,NZ,1586652400,-46.28,169.85,17.16,93,4.86,53
52,havelock,US,1586652421,34.88,-76.9,13.82,1,3.1,54
53,victoria,HK,1586652374,22.29,114.16,19.08,20,7.7,59
54,meulaboh,ID,1586652526,4.14,96.13,26.86,58,0.08,79
55,mandalgovi,MN,1586652540,45.76,106.27,4.08,0,6.24,32
56,punta arenas,CL,1586652406,-53.15,-70.92,5.77,40,3.1,75
57,basco,PH,1586652771,20.45,121.97,25.3,96,9.05,78
